source_pdf,source_page,source_table_index,category,subcategory,part,radial_size_normalized,cost_full,cost_empty,mass_full_or_value,mass_empty,max_temp_k_full_or_value,max_temp_k_secondary_or_skin,parameters_json,radial_size,cost,mass_t,mass_t_full,mass_t_empty,max_temp_k,tolerance_g,capacity,capacity_electricity,torque_kn_m,s_a_s_level,electricity_electricity_per_s,oxidizer,liquid_fuel,monopropellant,xenon,ore,fuel,fuel_per_s,thrust_kn,thrust_kn_atm,thrust_kn_vac,twr,twr_atm,twr_vac,twr_full_atm,twr_full_vac,twr_empty_atm,twr_empty_vac,isp_s_atm,isp_s_vac,ablator,antenna_rating,brake_torque_knm,crew_capacity,data_size_mits,deflection_range_deg,deflection_surface_part_percent,deployable,dimensions_m_l,dimensions_m_sd,dimensions_m_w_per_e,ejection_impulse_kgf_s,electricity_electricity_per_mit,electricity_per_mass_electricity_per_s_t,experiment_base_science_value,fuel_consumption_per_s,full_deploy_altitude_m,fully_deployed_diameter,intake_air_initial_per_max,intake_area_m2,inventory_slots,isp_s_empty_atm,isp_s_empty_vac,lift,max_altitude_m,max_length_m,max_motor_speed_m_per_s,max_radius_m,net_transmission_speed_mits_per_s,packed_volume_l,panel_cost_per_m2,panel_mass_t_per_m2,relay_capable,required_crew,required_crew_per_power,scanning_mode,scanning_resource,semi_deploy_pressure_atm,semi_deployed_diameter,stacking_capacity,steerable,tolerance_m_per_s,volume_limit_l,xenon_per_s
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Mk1 Cockpit,Small,1250,1241,1.28,1.25,2000,1100,"{""capacity_electricity"": ""50 ⚡ 7.5 MP"", ""cost"": ""1250 (1241)"", ""mass_t"": ""1.28 (1.25)"", ""max_temp_k"": ""2000 (1100)"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""40"", ""torque_kn_m"": ""10""}",Small,1250 (1241),1.28 (1.25),,,2000 (1100),50,,50 ⚡ 7.5 MP,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Mk1 Inline Cockpit,Small,1600,1591,1.03,1.00,2000,1100,"{""capacity_electricity"": ""50 ⚡ 7.5 MP"", ""cost"": ""1600 (1591)"", ""mass_t"": ""1.03 (1.00)"", ""max_temp_k"": ""2000 (1100)"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""40"", ""torque_kn_m"": ""10""}",Small,1600 (1591),1.03 (1.00),,,2000 (1100),50,,50 ⚡ 7.5 MP,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Mk2 Cockpit,Mk2,3500,3482,2.06,2.00,2500,1400,"{""capacity_electricity"": ""150 ⚡ 15 MP"", ""cost"": ""3500 (3482)"", ""mass_t"": ""2.06 (2.00)"", ""max_temp_k"": ""2500 (1400)"", ""radial_size"": ""Mk2"", ""required_crew_per_power"": ""+"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""45"", ""torque_kn_m"": ""15""}",Mk2,3500 (3482),2.06 (2.00),,,2500 (1400),50,,150 ⚡ 15 MP,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,45,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Mk2 Inline Cockpit,Mk2,3500,3470,2.10,2.00,2500,1400,"{""capacity_electricity"": ""150 ⚡ 25 MP"", ""cost"": ""3500 (3470)"", ""mass_t"": ""2.10 (2.00)"", ""max_temp_k"": ""2500 (1400)"", ""radial_size"": ""Mk2"", ""required_crew_per_power"": ""+"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""45"", ""torque_kn_m"": ""15""}",Mk2,3500 (3470),2.10 (2.00),,,2500 (1400),50,,150 ⚡ 25 MP,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,45,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Mk3 Cockpit,"Mk3, Small",10000,9880,3.90,3.50,2700,1500,"{""capacity_electricity"": ""500 ⚡ 100 MP"", ""cost"": ""10000 (9880)"", ""mass_t"": ""3.90 (3.50)"", ""max_temp_k"": ""2700 (1500)"", ""radial_size"": ""Mk3, Small"", ""required_crew_per_power"": ""+"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50"", ""torque_kn_m"": ""40/40/20""}","Mk3, Small",10000 (9880),3.90 (3.50),,,2700 (1500),50,,500 ⚡ 100 MP,40/40/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Mk1 Command Pod,"Small, Tiny",600,588,0.84,0.80,2200,1200,"{""capacity_electricity"": ""50 ⚡ 10 MP"", ""cost"": ""600 (588)"", ""mass_t"": ""0.84 (0.80)"", ""max_temp_k"": ""2200 (1200)"", ""radial_size"": ""Small, Tiny"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""14"", ""torque_kn_m"": ""5""}","Small, Tiny",600 (588),0.84 (0.80),,,2200 (1200),50,,50 ⚡ 10 MP,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Mk1-3 Command Pod,"Large, Small",3800,3764,2.72,2.60,2400,1400,"{""capacity_electricity"": ""150 ⚡ 30 MP"", ""cost"": ""3800 (3764)"", ""mass_t"": ""2.72 (2.60)"", ""max_temp_k"": ""2400 (1400)"", ""radial_size"": ""Large, Small"", ""required_crew_per_power"": ""+"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""20"", ""torque_kn_m"": ""15""}","Large, Small",3800 (3764),2.72 (2.60),,,2400 (1400),50,,150 ⚡ 30 MP,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,20,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Mk1 Lander Can,Small,1500,1482,0.66,0.60,2000,1000,"{""capacity_electricity"": ""50 ⚡ 15 MP"", ""cost"": ""1500 (1482)"", ""mass_t"": ""0.66 (0.60)"", ""max_temp_k"": ""2000 (1000)"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""8"", ""torque_kn_m"": ""3""}",Small,1500 (1482),0.66 (0.60),,,2000 (1000),50,,50 ⚡ 15 MP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Mk2 Lander Can,Large,3250,3202,1.515,1.355,2000,1200,"{""capacity_electricity"": ""100 ⚡ 40 MP"", ""cost"": ""3250 (3202)"", ""mass_t"": ""1.515 (1.355)"", ""max_temp_k"": ""2000 (1200)"", ""radial_size"": ""Large"", ""required_crew_per_power"": ""+"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""8"", ""torque_kn_m"": ""15""}",Large,3250 (3202),1.515 (1.355),,,2000 (1200),50,,100 ⚡ 40 MP,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,8,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,PPD-12 Cupola Module,"Large, Small",3200,3188,0.89,0.85,2000,1000,"{""capacity_electricity"": ""200 ⚡ 10 MP"", ""cost"": ""3200 (3188)"", ""mass_t"": ""0.89 (0.85)"", ""max_temp_k"": ""2000 (1000)"", ""radial_size"": ""Large, Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""8"", ""torque_kn_m"": ""9""}","Large, Small",3200 (3188),0.89 (0.85),,,2000 (1000),50,,200 ⚡ 10 MP,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
